id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8379453,Rental unit in Genève · ★4.92 · Studio · 1 bed · 1.5 baths,3737690,Philippe,,Commune de Genève,46.20259,6.14457,Entire home/apt,106,1,50,2023-11-02,0.56,23,252,14,
8457830,Home in Onex · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,22431546,Iris,,Onex,46.18021,6.09754,Private room,81,3,29,2019-06-02,0.29,3,180,0,
8466816,Rental unit in Le Grand-Saconnex · ★4.06 · 1 bedroom · 1 bed · 1 bath,6702115,Carlos,,Grand-Saconnex,46.23748,6.12426,Private room,70,15,16,2017-07-05,0.17,2,364,0,
8471424,Rental unit in Genève · ★4.86 · 1 bedroom · 1 bed · 1 bath,3737690,Philippe,,Commune de Genève,46.1877,6.15396,Entire home/apt,104,2,43,2023-10-06,0.47,23,141,6,
8563888,Rental unit in Genève · ★4.34 · 1 bedroom · 1 bed · 1 bath,3528377,Marc,,Commune de Genève,46.20081,6.15054,Entire home/apt,105,2,164,2023-11-14,1.78,86,163,26,
8647682,Rental unit in Genève · ★4.57 · 1 bedroom · 1 shared bath,33820733,Marie,,Commune de Genève,46.21003,6.13545,Private room,70,2,7,2023-12-08,0.07,2,177,3,
8649873,Rental unit in Genève · ★4.83 · 1 bedroom · 1 bed · 1 bath,45463570,Rudy,,Commune de Genève,46.19311,6.1466,Entire home/apt,,7,6,2023-05-29,0.08,1,0,1,
8660375,Rental unit in Genève · ★4.73 · 1 bedroom · 1 bed · 1 shared bath,24701955,Isi,,Commune de Genève,46.21081,6.14191,Private room,74,1,294,2023-12-24,2.94,2,0,83,
8717390,Rental unit in Genève · ★4.68 · 1 bedroom · 1 bed · 1.5 baths,40566334,Ron,,Commune de Genève,46.2106,6.1486,Entire home/apt,,2,73,2022-10-16,0.79,2,0,0,
8749215,Rental unit in Carouge · ★4.33 · 1 bedroom · 2 beds · 1 bath,13264154,Joëlle,,Carouge,46.18733,6.13994,Entire home/apt,,3,6,2022-10-12,0.34,1,0,0,
8819965,Rental unit in Genève · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,31358666,Lara,,Commune de Genève,46.1986,6.14303,Private room,105,2,34,2021-07-01,0.36,1,360,0,
8871057,Rental unit in Genève · ★4.73 · 1 bedroom · 1 bed · 1.5 shared baths,3778243,Lucia,,Commune de Genève,46.21384,6.12436,Private room,112,2,40,2023-09-03,0.41,4,122,5,
8902030,Rental unit in Genève · ★4.67 · 1 bedroom · 1 bath,33820733,Marie,,Commune de Genève,46.21053,6.13351,Entire home/apt,125,2,76,2023-10-05,0.76,2,171,9,
9161848,Serviced apartment in Genève · ★5.0 · 2 bedrooms · 3 beds · 2.5 baths,8287850,Martin,,Commune de Genève,46.20822,6.14934,Entire home/apt,,2,15,2023-09-09,0.19,5,0,3,
9271687,Rental unit in Genève · 1 bedroom · 1 bed · 1 bath,3111534,The Hamlet,,Commune de Genève,46.20036,6.1487,Entire home/apt,701,3,1,2016-08-13,0.01,17,0,0,
9387755,Rental unit in crx de rozon · 1 bedroom · 1 bed · 1 bath,48697096,Philippe,,Bardonnex,46.14146,6.13491,Entire home/apt,90,1,0,,,1,365,0,
9388057,Rental unit in Genève · ★4.68 · 1 bedroom · 1 bed · 1 shared bath,48699659,Sébastien,,Commune de Genève,46.20967,6.12818,Private room,,7,66,2019-03-17,0.68,2,0,0,
9481771,Rental unit in Genève · ★5.0 · 1 bedroom · 1 bed · 1 bath,13188461,Bogdanka,,Commune de Genève,46.21362,6.15063,Entire home/apt,115,5,5,2023-04-27,0.31,1,33,1,
9491456,Rental unit in Genève · ★4.71 · 1 bedroom · 1 bed · 1 bath,46143912,Philippe,,Commune de Genève,46.20919,6.12581,Entire home/apt,100,2,116,2021-02-27,1.18,36,0,0,
9506712,Guesthouse in Genève · 1 bedroom · 1 bed · 1.5 shared baths,4029298,Caroline,,Chêne-Bougeries,46.18898,6.16767,Private room,,7,2,2023-06-30,0.02,1,0,1,
9583206,Home in Veyrier · 1 bedroom · 1 bed · 1 private bath,21992131,Magali,,Veyrier,46.17265,6.18199,Private room,75,1,0,,,1,362,0,
9603781,Rental unit in Genève · ★4.88 · 1 bedroom · 2 beds · 1 bath,3528377,Marc,,Commune de Genève,46.20084,6.14921,Entire home/apt,238,2,33,2018-07-10,0.36,86,0,0,
9620597,Rental unit in Genève · ★4.44 · 2 bedrooms · 3 beds · 1 bath,3528377,Marc,,Commune de Genève,46.20086,6.14846,Entire home/apt,262,2,36,2017-02-13,0.37,86,85,0,
9620792,Rental unit in Genève · ★4.81 · 1 bedroom · 2 beds · 1 bath,3528377,Marc,,Commune de Genève,46.20215,6.14731,Entire home/apt,190,2,182,2023-12-10,1.92,86,0,38,
9640676,Rental unit in Genève · ★4.93 · 1 bedroom · 2 beds · 1 bath,48555002,Moussa,,Commune de Genève,46.22364,6.12252,Entire home/apt,99,2,42,2023-12-11,0.47,2,12,7,
9662569,Rental unit in Genève · ★4.56 · 1 bedroom · 1 bed · 1 bath,10409307,David,,Commune de Genève,46.18923,6.1538,Entire home/apt,67,14,9,2023-04-05,0.15,28,350,1,
9701252,Rental unit in Thônex · Studio · 1 bed · 1 bath,50096091,Aymon,,Thônex,46.19236,6.20251,Entire home/apt,75,15,1,2022-09-30,0.07,1,2,0,
9742032,Condo in Genève · ★4.13 · 1 bedroom · 1 bed · 1 bath,50261572,Yvan,,Commune de Genève,46.20246,6.16172,Entire home/apt,231,3,8,2020-02-20,0.09,1,365,0,
9743988,Home in Aire-la-Ville · ★4.86 · 1 bedroom · 1 bed · 1 bath,12853341,Natascha,,Vernier,46.20011,6.09367,Private room,90,30,7,2018-11-02,0.08,2,178,0,
9750300,Rental unit in Genève · ★4.79 · 1 bedroom · 1 bed · 1 bath,5314343,Michael,,Commune de Genève,46.20426,6.15806,Entire home/apt,162,1,14,2023-08-27,0.68,1,364,4,
9783381,Rental unit in Genève · ★4.89 · 1 bedroom · 1 bed · 1 bath,50114541,Anto,,Commune de Genève,46.20949,6.12809,Private room,64,1,9,2018-09-04,0.10,1,175,0,
9798603,Rental unit in Geneva · ★4.64 · Studio · 1 bed · 1 bath,50117294,Alexandre,,Commune de Genève,46.20513,6.15532,Entire home/apt,89,28,14,2023-01-02,0.20,3,116,1,
9806206,Rental unit in Genève · ★4.73 · Studio · 1 bed · 1 bath,20899107,Luc,,Commune de Genève,46.2028,6.14768,Entire home/apt,120,5,70,2022-07-02,0.72,1,239,0,
9821299,Rental unit in Chambésy · 1 bedroom · 2 beds · 1.5 baths,13417497,Carolyn,,Pregny-Chambésy,46.24573,6.14329,Entire home/apt,190,7,2,2022-09-11,0.11,2,365,0,
9836688,Condo in Genève · ★4.97 · 1 bedroom · 1 bed · 1 bath,45213874,Urs,,Commune de Genève,46.21574,6.12594,Entire home/apt,101,2,145,2023-12-22,1.56,1,257,29,
9874799,Rental unit in Genève · ★4.60 · 2 bedrooms · 2 beds · 1 bath,325495,Pierre,,Commune de Genève,46.20741,6.14465,Entire home/apt,187,90,43,2016-08-19,0.45,1,365,0,
9984236,Rental unit in Genève · ★5.0 · 1 bedroom · 1 bed · 1 bath,27662855,Taly,,Commune de Genève,46.2059,6.12044,Entire home/apt,104,3,4,2016-06-09,0.04,1,89,0,
9986899,Rental unit in Grand-Lancy · ★4.92 · 2 bedrooms · 4 beds · 2 baths,51313275,Luisa,,Onex,46.17934,6.1113,Entire home/apt,220,3,26,2023-10-25,0.27,2,191,1,
10003145,Rental unit in Genève · ★4.83 · 1 bedroom · 1 bed · 1.5 baths,2267760,Pierre,,Commune de Genève,46.21396,6.13326,Entire home/apt,,4,18,2023-10-27,0.19,1,0,4,
10023698,Rental unit in Genève · ★4.71 · Studio · 1 bed · 1 bath,37341640,Karim,,Commune de Genève,46.20083,6.14004,Entire home/apt,70,20,79,2023-08-31,0.85,1,282,4,
10315558,Rental unit in Onex · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,53074449,Hanan,,Onex,46.19206,6.10545,Private room,65,2,21,2022-10-01,0.22,1,360,0,
10349295,Rental unit in Genève · 2 bedrooms · 3 beds · 1 bath,21521753,Nadja,,Commune de Genève,46.20486,6.15867,Entire home/apt,169,3,0,,,2,356,0,
10377339,Hotel in Genève · ★4.82 · 1 bedroom · 2 beds · 1 private bath,53417709,Mike,,Commune de Genève,46.21065,6.14419,Private room,169,1,82,2023-10-26,0.86,1,332,13,
10387269,Rental unit in Genève · ★4.64 · 1 bedroom · 1 bed · 1 shared bath,53473765,Jeanette,,Commune de Genève,46.21405,6.12818,Private room,,1,121,2023-04-02,1.27,2,0,4,
10430368,Rental unit in Genève · ★4.70 · 1 bedroom · 2 beds · 1 bath,11445748,Nicole,,Commune de Genève,46.20344,6.12202,Entire home/apt,97,6,37,2023-05-28,0.42,3,283,4,
10537564,Cottage in Bellevue · ★5.0 · 2 bedrooms · 2 beds · 2 baths,54339207,Louise,,Bellevue,46.25495,6.15405,Entire home/apt,330,2,3,2023-11-04,0.48,1,347,3,
10538558,Rental unit in Genève · 1 bedroom · 1 bed · 1 bath,53270509,Maxime,,Commune de Genève,46.20905,6.14451,Entire home/apt,,1,0,,,1,360,0,
10563774,Rental unit in Genève · ★4.11 · 1 bedroom · 2 beds · 1 bath,3566383,First,,Commune de Genève,46.19774,6.13663,Entire home/apt,258,4,19,2021-10-14,0.20,5,365,0,
10603615,Rental unit in Genève · ★4.29 · 2 bedrooms · 3 beds · 1 bath,2388229,Alberto,,Commune de Genève,46.21362,6.13127,Entire home/apt,160,7,135,2023-11-16,1.41,5,308,6,
10652257,Rental unit in Le Grand-Saconnex · ★4.88 · 2 bedrooms · 2 beds · 1 bath,12207451,Teresa,,Grand-Saconnex,46.23229,6.11782,Entire home/apt,350,28,8,2023-11-11,0.09,3,17,2,
10975641,Rental unit in Genève · ★4.83 · 2 bedrooms · 1 bed · 1 bath,28549092,Moe,,Commune de Genève,46.2086,6.14574,Entire home/apt,64,40,29,2020-08-01,0.32,2,0,0,
10982977,Guest suite in Grand-Lancy · ★5.0 · 1 bedroom · 2 beds · 1.5 baths,13085224,Irene,,Plan-les-Ouates,46.16941,6.13544,Entire home/apt,95,3,75,2023-09-07,0.91,1,55,6,
11026738,Rental unit in Carouge · 1 bedroom · 2 beds · 1.5 baths,11209740,Marianne,,Carouge,46.18498,6.14317,Entire home/apt,288,5,2,2020-02-14,0.03,3,364,0,
11030622,Rental unit in Genève · ★4.75 · Studio · 1 bed · 1 bath,13027886,Louis,,Commune de Genève,46.21437,6.13078,Entire home/apt,83,6,81,2023-11-08,0.85,1,143,14,
11051956,Villa in Vernier · ★4.76 · 1 bedroom · 1 bed · 1 shared bath,57360506,Thierry,,Vernier,46.20607,6.0755,Private room,60,5,82,2023-11-03,0.86,2,329,11,
11134992,Rental unit in Genève · ★4.69 · Studio · 1 bed · 1 bath,57865437,Mila,,Commune de Genève,46.2011,6.15058,Entire home/apt,115,1,134,2023-09-12,1.41,1,1,13,
11157603,Rental unit in Genève · ★4.67 · 1 bedroom · 2 beds · 1 bath,24078782,Clémence,,Commune de Genève,46.20232,6.15942,Entire home/apt,140,1,45,2023-09-06,0.48,3,347,17,
11157686,Rental unit in Genève · ★4.88 · 1 bedroom · 1 bed · 1 bath,24078782,Clémence,,Commune de Genève,46.20272,6.15772,Entire home/apt,130,1,95,2023-12-09,1.02,3,330,43,
11157899,Rental unit in Genève · ★4.75 · 1 bedroom · 1 bed · 1 bath,24078782,Clémence,,Commune de Genève,46.20243,6.15906,Entire home/apt,115,1,135,2023-12-10,1.45,3,349,35,
11300923,Rental unit in Genève · ★4.75 · 1 bedroom · 1 bed · 1 bath,1409144,Antoine,,Commune de Genève,46.21127,6.13333,Private room,,1,68,2019-12-19,0.71,1,0,0,
11333675,Rental unit in Genève · ★4.65 · Studio · 1 bed · 1 bath,7235556,Abdou,,Commune de Genève,46.19578,6.13793,Entire home/apt,75,5,43,2022-01-30,0.62,1,363,0,
11377087,Bed and breakfast in Genève · ★4.64 · 1 bedroom · 1 bed · 1 private bath,9675348,Philippe,,Commune de Genève,46.20576,6.16227,Private room,65,2,50,2023-08-22,0.53,7,365,10,
11381653,Rental unit in Genève · ★4.50 · 1 bedroom · 1 bed · 1 bath,3003654,Aysel,,Commune de Genève,46.19637,6.16101,Entire home/apt,213,4,4,2022-07-27,0.08,1,300,0,
11540186,Rental unit in Versoix · ★4.95 · 1 bedroom · 1 bed · 1.5 baths,52373844,Priscille,,Versoix,46.28179,6.15947,Entire home/apt,85,6,66,2023-09-29,0.72,1,86,11,
